HSHD_NUM,recency,frequency,total_spend,avg_basket_value,total_units,recent_spend,older_spend,spend_trend,INCOME_RANGE,AGE_RANGE,HH_SIZE,L,CHILDREN,churned
10,0,165,37819.64,229.20993939393938,7824,8416.4,29403.24,-20986.840000000004,2,3,0,1,0,0
10,0,165,37819.64,229.20993939393938,7824,8416.4,29403.24,-20986.840000000004,2,3,0,1,0,0
29,301,2,79.80000000000001,39.900000000000006,24,0.0,79.80000000000001,-79.80000000000001,0,4,2,1,0,1
29,301,2,79.80000000000001,39.900000000000006,24,0.0,79.80000000000001,-79.80000000000001,0,4,2,1,0,1
53,17,173,23961.28,138.50450867052024,11496,5639.6,18321.68,-12682.08,3,4,2,1,0,0
53,17,173,23961.28,138.50450867052024,11496,5639.6,18321.68,-12682.08,3,4,2,1,0,0
54,1,261,32186.440000000002,123.31969348659004,15148,7936.72,24249.72,-16313.0,5,6,1,1,0,0
54,1,261,32186.440000000002,123.31969348659004,15148,7936.72,24249.72,-16313.0,5,6,1,1,0,0
60,0,590,122513.32,207.64969491525423,45528,27712.24,94801.08,-67088.84,2,3,4,1,0,0
60,0,590,122513.32,207.64969491525423,45528,27712.24,94801.08,-67088.84,2,3,4,1,0,0
81,103,7,159.28,22.754285714285718,36,66.32,92.96,-26.64,3,4,2,0,0,1
81,103,7,159.28,22.754285714285718,36,66.32,92.96,-26.64,3,4,2,0,0,1
92,507,2,116.28,58.14,56,0.0,116.28,-116.28,4,4,2,1,0,1
92,507,2,116.28,58.14,56,0.0,116.28,-116.28,4,4,2,1,0,1
99,3,234,63269.16,270.38102564102564,22928,16572.8,46696.36,-30123.56,4,2,2,1,0,0
99,3,234,63269.16,270.38102564102564,22928,16572.8,46696.36,-30123.56,4,2,2,1,0,0
115,373,2,401.04,200.51999999999998,160,0.0,401.04,-401.04,2,2,4,1,0,1
115,373,2,401.04,200.51999999999998,160,0.0,401.04,-401.04,2,2,4,1,0,1
117,3,250,74965.36,299.86144,19204,14679.32,60286.04,-45606.72,1,3,4,1,0,0
117,3,250,74965.36,299.86144,19204,14679.32,60286.04,-45606.72,1,3,4,1,0,0
136,28,235,55423.28,235.84374468085105,10872,8758.16,46665.12,-37906.96000000001,3,4,2,1,0,0
